Product,Varientid,Product_Title,Description,Type,Vendor,Tags,Weight,SKU,Processing_time,Slug,Price,Compare_price,Cost,Quantity,Recommended_price,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Category,Variant Barcode
,,1111wqw,<p>hello world</p>,Hello world,,hello world,1,hello-8,2,hello world,1,1,1,1,1,1,1,1,1,1,1,"hello world,zain",1234
,,,,,,,,new,,,2,2,2,2,,1,2,1,2,1,2,,123
3222,3299,hello world,<p>hello world</p>,Hello world,,hello world,1,hello-8,2,hello world,1,1,1,1,1,1,1,1,1,1,1,"hello world,zain",1223233232
3220,,111,"<p><span style=""color: rgb(33, 43, 54); font-family: -apple-system, BlinkMacSystemFont, &quot;San Francisco&quot;, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, sans-serif; font-size: 14px;"">Our&nbsp;gay pride rainbow dog collars are a must have. These collars are made of heavy duty nylon and have vibrant rainbow stripes of the gay pride flag. These collars were designed with a&nbsp;pet's comfort and style in mind.&nbsp; From teacups to giant breeds, male or female dogs, these adorable your dog collars will be a big hit at PRIDE Parades! These collars are constructed with an easy click, strong buckle and a silver metal D ring.&nbsp; The dog collars' length can be adjusted with the slider.&nbsp; The&nbsp;large collar is 1"" wide and 16-24"" in length.&nbsp; If the pet is between sizes we recommend sizing up.&nbsp;</span><br></p>",,,"clearance_No, color_Silver, GiftOption_Yes, product-type_Earrings,zain",0.0028,TYC-8,,large-rainbow-flag-striped-dog-collars,1,,,-1,,,,,,,,Gay Pride,
2,1260,Silver Ribbon Earrings,"<p>These beautiful silver ribbon earrings are 1/2"" x 1/4"" and are sterling silver plated. </p>",Wholesale Merchandise Shop,vendor-unknown,"clearance_No, color_Silver, GiftOption_Yes, product-type_Earrings, shape_Ribbon, Silver Ribbon - Retail, walmart, Wholesale Merchandise Shop: Earrings-10, Generic, Wholesale Merchan, Earrings",0.045359237,RE-E-01,3 working days,silver-ribbon-earrings-1-pair-of-earrings-retail,2.75,,2.75,0,11,Title,Default Title,,,,,,814361018112
6,3,Butterfly Believe Blue & Yellow Ribbon Note Cards,<p>These glossy coated blue and yellow ribbon cards have a beautiful butterfly design where the body of the butterfly is a blue and yellow ribbon. </p>,Wholesale Merchandise Shop,vendor-unknown,"Blue & Yellow Ribbon - Wholesale, clearance_Yes, color_Blue-Yellow, Generic, GiftOption_No, Note cards, Overstocks, Overstocks: Fundraising Supplies, product-type_Cards - Note cards, Wholesal",0.125010057,BBC-10,,butterfly-believe-blue-yellow-ribbon-note-cards,6.75,,6.75,0,12.99,Package Quantity,1 Pack,,,,,Yellow & Blue Ribbon,814361011731
7,4,No Texting Stickers,"<p>These 1 1/2 inch round no texting stickers are white with a red circle with the word texting in black with a red line going through it. Put these stickers on your letters, envelopes, posters and more to raise awareness and show support for not texting and driving. Each roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown,"clearance_Yes, color_White, Generic, GiftOption_No, Overstocks, Overstocks: Fundraising Supplies, product-type_Stickers, shape_Circle, Stickers, Texting - Wholesale, Wholesale Merchandise Sho",0.113398093,DST-01-TXT,,no-texting-stickers,6.5,,6.5,0,12.99,Package Quantity,1 Roll,,,,,PSA/Texting,849228068481
8,5,Difference Pink Ribbon Stickers,"<p>These pink ribbon breast cancer awareness stickers are 1 1/2 inch round and have the words ""Together We Can Make A Difference"" with our pink ribbon people. Great for putting on letters and envelopes. Each roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown,"clearance_No, color_Pink, Generic, GiftOption_No, Pink Ribbon - Wholesale, product-type_Stickers, shape_Circle, Stickers, Wholesale Merchandise Shop, Wholesale Merchandise Shop: Fundraising S",0.113398093,DST-1,,difference-pink-ribbon-stickers,6.5,,6.5,2,12.99,Package Quantity,1 Roll,,,,,Pink Ribbon,814361012844
9,6,Difference Gold Ribbon Stickers,"<p>These 1 1/2 inch round gold ribbon stickers have the words ""Together We Can Make A Difference"" with our gold ribbon people. This roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown,"24 Hours Disptach,24 Hours Disptach,clearance_No, color_Gold, Generic, GiftOption_No, Gold Ribbon - Wholesale, product-type_Stickers, shape_Circle, Stickers, Wholesale Merchandise Shop, Wholesale Merchandise Shop: By Disease/Ca",0.113398093,DST-11,,difference-gold-ribbon-stickers,6.5,,6.5,1,12.99,Package Quantity,1 Roll,,,,,Gold Ribbon,814361012790
10,7,500 Difference Green Ribbon Stickers (500 Stickers),"<p>These 1 1/2 inch round stickers have the words ""Together We Can Make A Difference"" with our green ribbon people. Great for putting on your letters or envelopes. Each roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown,"clearance_No, color_Green, GiftOption_No, product-type_Stickers, shape_Circle, Wholesale Merchandise Shop: Stickers & Decals-54, Wholesale Merchandise Shop: Stickers & Decals-55",0.113398093,DST-13,,500-difference-green-ribbon-stickers-500-stickers,6.5,,6.5,0,12.99,Title,Default Title,,,,,Green Ribbon,814361016491
11,8,Difference White Ribbon Stickers,"<p>These 1 1/2 inch round white ribbon stickers are light gray and have the words ""Together We Can Make A Difference"" with our white ribbon people. Each roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown," GiftOption_No,clearance_Yes, color_White, product-type_Stickers, shape_Circle, Wholesale Merchandise Shop, Wholesale Merchandise Shop: Fundraising Supplies-28, Wholesale Merchandise Shop: Fu",0.113398093,DST-15,,difference-white-ribbon-stickers,6.5,,6.5,0,12.99,Package Quantity,1 Roll,,,,,,814361016743
12,9,Difference Pink & Blue Ribbon Stickers,"<p>These pink and blue ribbon stickers are 1 1/2 inch round stickers that have the words ""Together We Can Make A Difference"" with our pink and blue ribbon people. Each roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown,"clearance_Yes, color_Pink-Blue, Generic, GiftOption_No, Pink & Blue Ribbon - Wholesale, product-type_Stickers, shape_Circle, Stickers, Wholesale Merchandise Shop, Wholesale Merchandise Shop: ",0.113398093,DST-16,,difference-pink-blue-ribbon-stickers,6.5,,6.5,0,12.99,Package Quantity,1 Roll,,,,,Pink & Blue Ribbon,849228006100
13,10,Difference Black Ribbon Stickers,"<p>These 1 1/2 inch round black ribbon stickers have the words ""Together We Can Make A Difference"" with our black ribbon people. These stickers are great for putting on your letters or envelopes. This roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown,"Black Ribbon - Wholesale, clearance_Yes, color_Black, Generic, GiftOption_No, Overstocks, Overstocks: Fundraising Supplies, product-type_Stickers, shape_Circle, Stickers, Wholesale Merchandis",0.113398093,DST-17,,difference-black-ribbon-stickers,5,,5,0,12.99,Package Quantity,1 Roll,,,,,Black Ribbon,849228002775
14,11,Autism Ribbon Make A Difference Stickers,"<p>These autism ribbon stickers are 1 1/2 inch round and have the words ""Together We Can Make A Difference"" with our autism ribbon people. These stickers are great for putting on your letters or envelopes. This roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown,"Autism - Wholesale, clearance_No, color_Multicolored, Generic, GiftOption_No, product-type_Stickers, shape_Circle, Stickers, Wholesale Merchandise Shop, Wholesale Merchandise Shop: Autism Rib",0.113398093,DST-2,,difference-autism-ribbon-stickers,5.75,,5.75,0,12.99,Package Quantity,1 Roll,,,,,Autism Ribbon,849228002805
15,12,Difference Peach Ribbon Stickers,"<p>These 1 1/2 inch round peach ribbon stickers have the words ""Together We Can Make A Difference"" with our peach ribbon people. Great for putting on your donation letters or envelopes. Each roll has 500 stickers.</p>",Wholesale Merchandise Shop,vendor-unknown,"clearance_Yes, color_Peach, Generic, GiftOption_No, Overstocks, Overstocks: Fundraising Supplies, Peach Ribbon - Wholesale, product-type_Stickers, shape_Circle, Stickers, Wholesale Merchandis",0.113398093,DST-20,,difference-peach-ribbon-stickers,6.5,,6.5,0,12.99,Package Quantity,1 Roll,,,,,Peach Ribbon,849228002812
