Product,Varientid,Product_Title,Variant_Title,SKU,Price,Compare_price,Cost,Quantity,Recommended_price
2,1260,Silver ,Default Title//,RE-E-01,2.75,,2.75,0,11
6,3,Butterfly Believe Blue & Yellow Ribbon Note Cards,1 Pack//,BBC-10,6.75,,6.75,0,12.99
7,4,No Texting Stickers,1 Roll//,DST-01-TXT,6.5,,6.5,0,12.99
8,5,Difference Pink Ribbon Stickers,1 Roll//,DST-1,6.5,,6.5,2,12.99
9,6,Difference Gold Ribbon Stickers,1 Roll//,DST-11,6.5,,6.5,1,12.99
10,7,500 Difference Green Ribbon Stickers (500 Stickers),Default Title//,DST-13,6.5,,6.5,0,12.99
11,8,Difference White Ribbon Stickers,Difference White Ribbon Stickers,DST-15,6.5,,6.5,0,12.99
12,9,Difference Pink & Blue Ribbon Stickers,1 Roll//,DST-16,6.5,,6.5,0,12.99
13,10,Difference Black Ribbon Stickers,1 Roll//,DST-17,5,,5,0,12.99
14,11,Autism Ribbon Make A Difference Stickers,1 Roll//,DST-2,5.75,,5.75,0,12.99
15,12,Difference Peach Ribbon Stickers,1 Roll//,DST-20,6.5,,6.5,0,12.99
16,13,Difference Periwinkle Ribbon Stickers,1 Roll//,DST-21,6.5,,6.5,0,12.99
17,14,Difference Pink & Teal Ribbon Stickers,1 Roll//,DST-24,6.5,,6.5,0,12.99
18,15,Difference Brown Ribbon Stickers,1 Roll//,DST-26,5,,5,0,12.99
19,16,Autism Awareness Owl Stickers,1 Roll//,DST-2AO,5.75,,5.75,0,12.99
20,17,Autism Touches Us All Stickers,1 Roll//,DST-2AT,5.75,,5.75,0,12.99
21,18,Support Autism Awareness Tree Stickers,1 Roll//,DST-2AU,5.75,,5.75,0,12.99
22,19,Difference Purple Ribbon Stickers,1 Roll//,DST-4,5.75,,5.75,0,12.99
23,20,Difference Red Ribbon Stickers,1 Roll//,DST-6,6.35,,6.35,0,12.99
24,21,500 Say No To Drugs Red Ribbon week Circle Stickers (500 Stickers),Default Title//,DST-6DR,5.5,,5.5,0,12.99
25,22,500 Red Ribbon Week Say No To Drugs Circle Ribbon Stickers (500 Stickers),Default Title//,DST-6DR2,5.5,,5.5,0,12.99
26,23,Difference Dark Blue Ribbon Stickers,1 Roll//,DST-8,6.35,,6.35,0,12.99
27,24,Difference Lime Green Ribbon Stickers,1 Roll//,DST-9,6.35,,6.35,0,12.99
28,25,250 Round Black Lives Matter Stickers (250 Stickers),Default Title//,DST-BLM,6.25,,6.25,0,12.99
29,26,Difference No Bullies Stickers,Difference No Bullies Stickers,DST-BU,5.5,,5.5,1,12.99
30,27,Stand Up Speak Out Anti Bullying Stickers,1 Roll//,DST-BUR,5.5,,5.5,0,12.99
31,28,500 Band Against Bullying Stickers (500 Stickers),Default Title//,DST-BUT,5.5,,5.5,0,12.99
32,29,Back The Blue Police Badge Stickers,1 Roll//,DST-FRB-BTB,6,,6,0,12.99
33,30,Blue Lives Matter Flag Stickers,Blue Lives Matter Flag Stickers,DST-FRB-FLAG,5.5,,5.5,3,12.99
34,31,Firefighters Lives Matter Flag Stickers,1 Roll//,DST-FRR-FLAG,5.5,,5.5,0,12.99
35,32,Large Red Heart Shaped Stickers,Large Red Heart Shaped Stickers,DST-HRT,6.35,,6.35,0,12.99
36,33,Multi Ribbon - Hope Comes In All Colors Stickers,Multi Ribbon - Hope Comes In All Colors Stickers,DST-MC,5.85,,5.85,0,12.99
37,34,500 NO MORE Domestic Violence/Sexual Assault Stickers (500 Stickers),Default Title//,DST-NM,6.35,,6.35,0,12.99
38,35,Opt To Adopt Stickers,Opt To Adopt Stickers,DST-P,5.5,,5.5,0,12.99
39,36,Round Cat Mom Stickers,1 Roll//,DST-P-CAT,5.5,,5.5,0,12.99
40,37,Dog Mom Paw Print Stickers,1 Roll//,DST-P-DM,5.5,,5.5,0,12.99
41,38,Love is a Four Legged Word Stickers,Love is a Four Legged Word Stickers,DST-P-FL,5.5,,5.5,0,12.99
42,39,Happy Mail Paw Print Stickers,1 Roll//,DST-P-HM,5.5,,5.5,0,12.99
43,40,Thank You Paw Print Stickers,1 Roll//,DST-P-TY,5.5,,5.5,0,12.99
