Variant SKU,ADS Price,Suggested Resale,Variant Compare At Price,Handle,Body (HTML),Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Title,Variant Grams,Variant Inventory Qty,Variant Barcode,SEO Title,SEO Description,Variant Weight Unit,Cost per item
BBC-10,6.75,12.99,,butterfly-believe-blue-yellow-ribbon-note-cards,<p>These glossy coated blue and yellow ribbon cards have a beautiful butterfly design where the body of the butterfly is a blue and yellow ribbon. </p>,Package Quantity,1 Pack,,,,,Butterfly Believe Blue & Yellow Ribbon Note Cards,125.0100572,500,'814361011731,Butterfly Believe Blue & Yellow Ribbon Thank You Cards Wholesale,Our wholesale blue and yellow ribbon thank you cards are perfect for sending to people who contributed to your Down syndrome walk.,lb,
DST-01-TXT,6.5,12.99,,no-texting-stickers,"<p>These 1 1/2 inch round no texting stickers are white with a red circle with the word texting in black with a red line going through it. Put these stickers on your letters, envelopes, posters and more to raise awareness and show support for not texting and driving. Each roll has 500 stickers.</p>",Package Quantity,1 Roll,,,,,No Texting Stickers,113.3980925,500,'849228068481,Round No Texting Logo Stickers,These round no texting logo stickers are white with a red circle with the word texting in black with a red line going through it.,lb,
DST-1,6.5,12.99,,difference-pink-ribbon-stickers,"<p>These pink ribbon breast cancer awareness stickers are 1 1/2 inch round and have the words ""Together We Can Make A Difference"" with our pink ribbon people. Great for putting on letters and envelopes. Each roll has 500 stickers.</p>",Package Quantity,1 Roll,,,,,Difference Pink Ribbon Stickers,113.3980925,500,'814361012844,Pink Ribbon Breast Cancer Awareness Stickers,"Our Pink Ribbon Breast Cancer Awareness Stickers say ""Together We Can Make a Difference"".",lb,
DST-11,6.5,12.99,,difference-gold-ribbon-stickers,"<p>These 1 1/2 inch round gold ribbon stickers have the words ""Together We Can Make A Difference"" with our gold ribbon people. This roll has 500 stickers.</p>",Package Quantity,1 Roll,,,,,Difference Gold Ribbon Stickers,113.3980925,0,'814361012790,We Can Make a Difference Gold Ribbon Stickers Wholesale,Our wholesale we can make a difference gold ribbon stickers are perfect for your pediatric cancer fundraising event. Each gold ribbon awareness sticker has a gold ribbon to show your support for childhood cancer awareness.,lb,
DST-13,6.5,12.99,,500-difference-green-ribbon-stickers-500-stickers,"<p>These 1 1/2 inch round stickers have the words ""Together We Can Make A Difference"" with our green ribbon people. Great for putting on your letters or envelopes. Each roll has 500 stickers.</p>",Title,Default Title,,,,,500 Difference Green Ribbon Stickers (500 Stickers),113.3980925,500,'814361016491,"Difference Green Ribbon Stickers, Cerebral Palsy Awareness Labels",Our Difference Green Ribbon Stickers are perfect for your mental health awareness or cerebral palsy fundraising event. Each green ribbon awareness sticker allows you to show your support for bipolar disorder awareness.,lb,
DST-15,6.5,12.99,,difference-white-ribbon-stickers,"<p>These 1 1/2 inch round white ribbon stickers are light gray and have the words ""Together We Can Make A Difference"" with our white ribbon people. Each roll has 500 stickers.</p>",Package Quantity,1 Roll,,,,,Difference White Ribbon Stickers,113.3980925,500,'814361016743,"White Ribbon Stickers Wholesale, Lung Cancer Ribbons",Our wholesale white ribbon stickers are perfect for your lung cancer ribbon event. Each white ribbon awareness sticker has a white ribbon to show your support for bone cancer awareness.,lb,
DST-16,6.5,12.99,,difference-pink-blue-ribbon-stickers,"<p>These pink and blue ribbon stickers are 1 1/2 inch round stickers that have the words ""Together We Can Make A Difference"" with our pink and blue ribbon people. Each roll has 500 stickers.</p>",Package Quantity,1 Roll,,,,,Difference Pink & Blue Ribbon Stickers,113.3980925,500,'849228006100,Difference Pink & Blue Ribbon Stickers Wholesale - Infant Loss Stickers - SIDS Awareness Stickers,Our wholesale pink and blue ribbon stickers represent infant loss. The pink and blue ribbon awareness stickers are perfect to put on envelopes when you mail something to show your support for SIDS awareness.,lb,
DST-17,5,12.99,,difference-black-ribbon-stickers,"<p>These 1 1/2 inch round black ribbon stickers have the words ""Together We Can Make A Difference"" with our black ribbon people. These stickers are great for putting on your letters or envelopes. This roll has 500 stickers.</p>",Package Quantity,1 Roll,,,,,Difference Black Ribbon Stickers,113.3980925,499,'849228002775,"Black Ribbon Cancer Stickers Wholesale, Melanoma Awareness",Our wholesale black ribbon cancer stickers are perfect for your melanoma awareness donation request letters. Each black awareness sticker has a black ribbon to show your support.,lb,
DST-2,5.75,12.99,,difference-autism-ribbon-stickers,"<p>These autism ribbon stickers are 1 1/2 inch round and have the words ""Together We Can Make A Difference"" with our autism ribbon people. These stickers are great for putting on your letters or envelopes. This roll has 500 stickers.</p>",Package Quantity,1 Roll,,,,,Autism Ribbon Make A Difference Stickers,113.3980925,499,'849228002805,"Autism Stickers, Ribbon Awareness Stickers",Our Autism Stickers are great for putting on letters or on kids' shirts at school to support autism awareness. The autism ribbon stickers come on a roll.,lb,
DST-20,6.5,12.99,,difference-peach-ribbon-stickers,"<p>These 1 1/2 inch round peach ribbon stickers have the words ""Together We Can Make A Difference"" with our peach ribbon people. Great for putting on your donation letters or envelopes. Each roll has 500 stickers.</p>",Package Quantity,1 Roll,,,,,Difference Peach Ribbon Stickers,113.3980925,23,'849228002812,"We Can Make A Difference Peach Ribbon Stickers Wholesale, Uterine Cancer Awareness",Our wholesale we can make a difference peach ribbon stickers are perfect for your uterine cancer fundraising event. Each peach ribbon awareness sticker has a peach ribbon to show your support for uterine cancer awareness.,lb,
