1973,2001,"Live Laugh Love Pink Ribbon Round Key Chain","<p>This pink ribbon keychain features a silver heart charm with pink ribbons and the words ""Live Laugh Love"" on a round split ring style key ring. The key ring is 1 1/4 inches in diameter and the sterling silver-plated charm is 1 inch by 1 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Pink, Generic, GiftOption_Yes, Key Chains, Pink Ribbon - Retail, product-type_Key Chains, shape_Heart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-2, Wholesale Merc",0.045359237,RE-KR-B05-1L,,live-laugh-love-pink-ribbon-round-key-chain-1-keychain-retail,2.5,,2.5,0,8.99,Title,"Default Title",,,,,"Pink Ribbon",'8945091231068
1974,2002,"Semicolon Suicide Prevention Awareness Round Key Chains","<p>This semicolon suicide prevention awareness key chain features a heart-shaped charm on a round split ring style key ring. The key ring is 1 1/4 inches in diameter and the charm is 5/8 inch by 5/8 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Teal-Purple, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Heart, Suicide Awareness, Teal & Purple Ribbon - Wholesale, Wholesale Merchandise Shop, Wholesale M",0.01800761709,RE-KR-HRT-32SC,,semicolon-suicide-prevention-awareness-round-key-chains,2.5,,2.5,500,8.99,"Package Quantity","1 Keychain",,,,,,'8945091238203
1975,2003,"Green Ribbon Lanyard","<p>This green ribbon lanyard says ""Hope, Faith, Love"" with green ribbons. The woven fabric portion of the lanyard is 17 inches long x 3/4 inch wide and can be used as a key chain or badge holder.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_Yes, color_Green, Generic, GiftOption_No, Green Ribbon - Retail, Lanyards, product-type_Lanyards, walmart, Wholesale Merchandise Shop: Clothing/Hats/Other-11, Wholesale Merchandise",0.0226796185,RE-LAN-13H,,green-ribbon-lanyard-1-lanyard-retail,2,,2,916,8.99,Title,"Default Title",,,,,"Green Ribbon",'849228012453
1976,2004,"Yellow Ribbon Lanyard","<p>This yellow ribbon lanyard says ""Hope, Faith, Love"" with yellow ribbons. The woven fabric portion of the lanyard is 17 inches long x 3/4 inch wide and can be used as a key chain or badge holder.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_Yes, color_Yellow, Generic, GiftOption_No, Lanyards, Overstocks, Overstocks: Miscellaneous Items, product-type_Lanyards, walmart, Wholesale Merchandise Shop: Clothing/Hats/Other-12,",0.0226796185,RE-LAN-14H,,yellow-ribbon-lanyard-1-lanyard-retail,2,,2,999,8.99,Title,"Default Title",,,,,"Yellow Ribbon",'814361018594
1977,2005,"Hope White Ribbon Lanyard","<p>This white ribbon lanyard says ""Hope Faith Love"" with white ribbons. The woven fabric portion of the lanyard is 17 inches long x 3/4 inch wide and can be used as a key chain or badge holder.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_Yes, color_White, Generic, GiftOption_No, Lanyards, product-type_Lanyards, walmart, White Ribbon - Retail, Wholesale Merchandise Shop: Clothing/Hats/Other-13, Wholesale Merchandise",0.0226796185,RE-LAN-15H,,hope-white-ribbon-lanyard-1-lanyard-retail,2,,2,999,8.99,Title,"Default Title",,,,,,'849228034585
1978,2006,"Breast Cancer Awareness Pink Ribbon Lanyard","<p>This pink ribbon lanyard can be used as a key chain or badge holder. The pink lanyard has pink ribbons with the words ""Awareness Saves Lives"". The woven fabric portion of the lanyard is 17 inches long x 3/4 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"Breast Cancer, clearance_No, color_Pink, GiftOption_No, Lanyards, Pink Ribbon - Retail, product-type_Lanyards, walmart, Wholesale Merchandise Shop: Clothing/Hats/Other-1, Wholesale Merchandis",0.0226796185,RE-LAN-1AW,,breast-cancer-awareness-pink-ribbon-lanyard-1-lanyard-retail,2,,2,821,8.99,Title,"Default Title",,,,,"Pink Ribbon",'814361018228
1979,2007,"Hope Strength Pink Ribbon Awareness Lanyard","<p>This pink ribbon lanyard can be used as a key chain or badge holder. The black lanyard has a pretty design pink ribbons and hearts and flowers with the words ""Hope, Strength, Love and Courage"". The polyester ribbon portion of the lanyard is 17 inches long x 3/4 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Pink, Generic, GiftOption_No, Lanyards, Pink Ribbon - Retail, product-type_Lanyards, walmart, Wholesale Merchandise Shop: Clothing/Hats/Other-1, Wholesale Merchandise Shop",0.0226796185,RE-LAN-1BK,,hope-strength-pink-ribbon-lanyard-1-lanyard-retail,2,,2,1383,8.99,Title,"Default Title",,,,,"Pink Ribbon",'849228047509
1980,2008,"Hope Breast Cancer Awareness Pink Ribbon Lanyard","<p>This pink ribbon lanyard can be used as a key chain or badge holder. The pink lanyard has pink ribbons with the words ""Hope Faith Love"". The woven fabric portion of the lanyard is 17 inches long x 3/4 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Pink, Generic, GiftOption_No, Lanyards, Pink Ribbon - Retail, product-type_Lanyards, walmart, Wholesale Merchandise Shop: Clothing/Hats/Other-1, Wholesale Merchandise Shop",0.0226796185,RE-LAN-1H,,hope-breast-cancer-awareness-pink-ribbon-lanyard-1-lanyard-retail,2,,2,1274,8.99,Title,"Default Title",,,,,"Pink Ribbon",'849228045130
1981,2009,"Silver Glitter Pink Ribbon Breakaway Lanyard","<p>This silver glitter pink ribbon breakaway lanyard can be used as a key chain or badge holder. The breast cancer awareness pink lanyard is covered with silver glitter and pink ribbons and has a breakaway quick release clasp that snaps apart when pulled. The breakaway clip attaches and releases easily for increased safety and ease of use. The woven fabric portion of the lanyard is 17 inches long x 1 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"Breast Cancer, clearance_Yes, color_Pink, GiftOption_No, Lanyards, Pink Ribbon - Retail, product-type_Lanyards, walmart, Wholesale Merchandise Shop: Clothing/Hats/Other-1, Wholesale Merchandi",0.0226796185,RE-LAN-1SI,,silver-glitter-pink-ribbon-breakaway-lanyard-1-lanyard-retail,2.5,,2.5,0,8.99,Title,"Default Title",,,,,"Pink Ribbon",'849228056457
1982,2010,"Autism Awareness Lanyard","<p>This autism awareness lanyard has autism ribbons with the words ""Autism Awareness"". It has a ring at the bottom so you can use this as a key chain as well as a badge holder.</p>","Wholesale Merchandise Shop",vendor-unknown,"Autism - Retail, clearance_No, color_Yellow, Generic, GiftOption_No, Lanyards, product-type_Lanyards, walmart, Wholesale Merchandise Shop: Clothing/Hats/Other, Wholesale Merchandise Shop: Gif",0.0226796185,RE-LAN-2,,autism-awareness-lanyard-1-autism-lanyard-retail,2,,2,998,8.99,Title,"Default Title",,,,,"Autism Ribbon",'849228000085
